n:156 mse_avg:2.84 mse_y:4.96 mse_u:0.65 mse_v:0.80 psnr_avg:43.59 psnr_y:41.18 psnr_u:49.97 psnr_v:49.11 
n:157 mse_avg:2.31 mse_y:3.99 mse_u:0.56 mse_v:0.70 psnr_avg:44.50 psnr_y:42.12 psnr_u:50.68 psnr_v:49.71 
n:158 mse_avg:2.82 mse_y:4.91 mse_u:0.65 mse_v:0.81 psnr_avg:43.63 psnr_y:41.22 psnr_u:49.97 psnr_v:49.05 
n:159 mse_avg:2.37 mse_y:4.07 mse_u:0.61 mse_v:0.76 psnr_avg:44.37 psnr_y:42.04 psnr_u:50.29 psnr_v:49.32 
n:160 mse_avg:2.24 mse_y:3.84 mse_u:0.59 mse_v:0.70 psnr_avg:44.62 psnr_y:42.29 psnr_u:50.44 psnr_v:49.68 
n:161 mse_avg:2.28 mse_y:3.91 mse_u:0.60 mse_v:0.70 psnr_avg:44.56 psnr_y:42.21 psnr_u:50.37 psnr_v:49.69 
n:162 mse_avg:3.06 mse_y:5.27 mse_u:0.75 mse_v:0.92 psnr_avg:43.28 psnr_y:40.91 psnr_u:49.38 psnr_v:48.47 
n:163 mse_avg:3.38 mse_y:5.81 mse_u:0.84 mse_v:1.05 psnr_avg:42.84 psnr_y:40.49 psnr_u:48.89 psnr_v:47.90 
n:164 mse_avg:3.05 mse_y:5.24 mse_u:0.75 mse_v:0.96 psnr_avg:43.29 psnr_y:40.94 psnr_u:49.39 psnr_v:48.33 
n:165 mse_avg:3.47 mse_y:6.02 mse_u:0.81 mse_v:1.02 psnr_avg:42.73 psnr_y:40.34 psnr_u:49.03 psnr_v:48.03 
n:166 mse_avg:3.06 mse_y:5.22 mse_u:0.79 mse_v:1.00 psnr_avg:43.27 psnr_y:40.95 psnr_u:49.14 psnr_v:48.14 
n:167 mse_avg:3.71 mse_y:6.47 mse_u:0.83 mse_v:1.05 psnr_avg:42.44 psnr_y:40.02 psnr_u:48.93 psnr_v:47.91 
n:168 mse_avg:3.22 mse_y:5.58 mse_u:0.76 mse_v:0.98 psnr_avg:43.05 psnr_y:40.67 psnr_u:49.33 psnr_v:48.22 
